"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD48",1.52125020865348e-243,1.28000387599422,0.893,0.675,2.12975029211487e-241,"6","CD48"
"CD45",3.46206140740696e-242,1.82008055579316,0.897,0.694,4.84688597036974e-240,"6","CD45"
"CD38",6.75248955997807e-242,1.31225818056511,0.92,0.751,9.4534853839693e-240,"6","CD38"
"ITGAL",9.54524813178909e-225,1.09537267799135,0.987,0.948,1.33633473845047e-222,"6","ITGAL"
"NCR1",2.76678292881031e-215,2.19263222328001,0.804,0.592,3.87349610033444e-213,"6","NCR1"
"CD7",1.35875281198121e-179,-9.71657171870971,0.875,0.727,1.90225393677369e-177,"6","CD7"
"CD244",1.36312527922868e-176,1.07673772521323,0.846,0.658,1.90837539092016e-174,"6","CD244"
"KLRD1",2.08426276365161e-172,4.47137865601574,0.793,0.617,2.91796786911225e-170,"6","KLRD1"
"KIR2DL3",4.52277742646228e-169,-7.43577426757579,0.178,0.385,6.33188839704720e-167,"6","KIR2DL3"
"KLRB1",1.16620820585002e-165,0.917079609618558,0.571,0.321,1.63269148819002e-163,"6","KLRB1"
"SLAMF6",1.12105621256125e-159,1.85417749506451,0.564,0.328,1.56947869758575e-157,"6","SLAMF6"
"SIGLEC7",6.34227197072618e-155,4.3947786726681,0.669,0.464,8.87918075901665e-153,"6","SIGLEC7"
"IL2RB",2.31861259403045e-151,1.83161807078568,0.473,0.244,3.24605763164263e-149,"6","IL2RB"
"CD45RA",1.90748623642019e-147,0.235502322226569,0.969,0.93,2.67048073098826e-145,"6","CD45RA"
"ITGA4",4.48470316703853e-129,-3.56218187553032,0.643,0.421,6.27858443385394e-127,"6","ITGA4"
"KIR2DL1",1.29335106498992e-128,-8.77313501805068,0.096,0.263,1.81069149098589e-126,"6","KIR2DL1"
"HLA-A",1.99689458074483e-121,0.966881144777973,0.627,0.418,2.79565241304277e-119,"6","HLA-A"
"FCGR3A",1.14807574896901e-105,3.0737743922711,0.891,0.771,1.60730604855661e-103,"6","FCGR3A"
"CD99",7.61171523615532e-101,0.917092862121569,0.932,0.819,1.06564013306175e-98,"6","CD99"
"ITGB2",7.29791409782005e-100,1.84045105709513,0.966,0.918,1.02170797369481e-97,"6","ITGB2"
"KIR3DL1",9.72405247319869e-99,-6.36209153930125,0.089,0.237,1.36136734624782e-96,"6","KIR3DL1"
"ITGB1",3.23269975008546e-98,1.20658944939945,0.677,0.524,4.52577965011964e-96,"6","ITGB1"
"CD69",8.80562339014511e-96,-1.79264578902512,0.446,0.261,1.23278727462031e-93,"6","CD69"
"TIGIT",5.38437783148706e-94,5.25807283995984,0.347,0.186,7.53812896408189e-92,"6","TIGIT"
"CD47",7.6500541480088e-94,1.67415058045256,0.378,0.209,1.07100758072123e-91,"6","CD47"
"ITGAM",4.97410667535176e-93,5.44342438544339,0.449,0.275,6.96374934549246e-91,"6","ITGAM"
"FAS",3.85210223045326e-70,1.71248904297451,0.317,0.178,5.39294312263456e-68,"6","FAS"
"CD81",1.61126310897244e-67,1.57335011337392,0.3,0.164,2.25576835256142e-65,"6","CD81"
"KLRG1",1.19008890353404e-64,1.25993942714495,0.212,0.101,1.66612446494766e-62,"6","KLRG1"
"KLRK1",1.84029553112848e-62,-0.196858135856449,0.267,0.14,2.57641374357987e-60,"6","KLRK1"
"ADGRG1",1.71082705162862e-61,-2.73514199648185,0.708,0.559,2.39515787228007e-59,"6","ADGRG1"
"B3GAT1",1.25278865384514e-46,-7.05098155072674,0.093,0.183,1.7539041153832e-44,"6","B3GAT1"
"CD4",9.02011338923405e-45,5.87338205587576,0.061,0.017,1.26281587449277e-42,"6","CD4"
"CD5",1.98924801800478e-42,4.35907897713916,0.079,0.041,2.78494722520669e-40,"6","CD5"
"human(Ig)",7.80106493962092e-40,-2.24029439950188,0.31,0.199,1.09214909154693e-37,"6","human(Ig)"
"ICOS",7.77148699371616e-39,6.8569100989959,0.067,0.021,1.08800817912026e-36,"6","ICOS"
"CD82",3.52614920741935e-31,0.56306998971752,0.076,0.027,4.93660889038709e-29,"6","CD82"
"CD2",1.93789804081194e-30,2.72854376065773,0.384,0.331,2.71305725713671e-28,"6","CD2"
"SLAMF7",3.69185977066628e-30,1.05539410966998,0.155,0.086,5.1686036789328e-28,"6","SLAMF7"
"IFNGR1",5.70316484310224e-30,1.32504198939449,0.111,0.053,7.98443078034314e-28,"6","IFNGR1"
"CD28",9.40708531226626e-30,1.58429809587893,0.057,0.02,1.31699194371728e-27,"6","CD28"
"NCAM1",2.69661527260351e-29,-8.57742901145366,0.639,0.566,3.77526138164491e-27,"6","NCAM1"
"CD58",8.16423714996951e-27,1.41953670287781,0.103,0.05,1.14299320099573e-24,"6","CD58"
"CD3D",5.21035974393645e-26,-2.07580128087582,0.102,0.107,7.29450364151103e-24,"6","CD3D"
"ITGAX",4.58271002376528e-24,7.4270280733721,0.556,0.496,6.41579403327139e-22,"6","ITGAX"
"human(TCR) ",5.08451570939022e-23,-0.578922413122382,0.173,0.108,7.11832199314631e-21,"6","human(TCR) "
"human(TCR).1",1.21888545321193e-21,0.234463310914485,0.207,0.137,1.7064396344967e-19,"6","human(TCR).1"
"ICAM1",3.56700913192421e-21,7.04706169959821,0.462,0.381,4.99381278469389e-19,"6","ICAM1"
"TNFRSF14",2.41301449353106e-20,1.65454529820832,0.064,0.027,3.37822029094349e-18,"6","TNFRSF14"
"ITGAE",6.564687198109e-19,7.30070757179398,0.153,0.097,9.1905620773526e-17,"6","ITGAE"
"ITGA6",1.55370687129027e-16,1.53846831121176,0.043,0.016,2.17518961980637e-14,"6","ITGA6"
"IL7R",3.44197630535863e-16,3.04602891535776,0.037,0.013,4.81876682750208e-14,"6","IL7R"
"CD101",1.05446019102112e-15,0.791310755039643,0.069,0.034,1.47624426742957e-13,"6","CD101"
"CD52",2.74827793442002e-14,1.64781073279685,0.055,0.028,3.84758910818803e-12,"6","CD52"
"ANPEP",6.96564762720205e-14,-7.35127652292284,0.135,0.09,9.75190667808286e-12,"6","ANPEP"
"DPP4",3.05978798347689e-13,3.47258486377715,0.051,0.029,4.28370317686765e-11,"6","DPP4"
"SELL",5.73112836764787e-13,2.36871750710655,0.263,0.328,8.02357971470702e-11,"6","SELL"
"CD44",5.8956659974586e-13,0.507918104828308,0.701,0.634,8.25393239644204e-11,"6","CD44"
"ITGB7",7.76214670916681e-13,-5.82646514657378,0.072,0.04,1.08670053928335e-10,"6","ITGB7"
"CLEC12A",5.35750324354827e-12,4.63924075330366,0.177,0.133,7.50050454096758e-10,"6","CLEC12A"
"FCGR1A",5.92490073250593e-11,8.95272416721805,0.092,0.059,8.29486102550831e-09,"6","FCGR1A"
"C5AR1",7.75520106127582e-11,3.47757350868935,0.095,0.061,1.08572814857861e-08,"6","C5AR1"
"TCR-AB",2.88763405544198e-10,13.7246586744054,0.068,0.056,4.04268767761878e-08,"6","TCR-AB"
"HLA-E",2.95056273353529e-10,1.00337251531358,0.094,0.061,4.13078782694941e-08,"6","HLA-E"
"CR1",5.6586064152091e-10,6.23998944711254,0.107,0.073,7.92204898129274e-08,"6","CR1"
"Human-Ig",9.61692670153914e-10,-0.817648118414542,0.045,0.03,1.34636973821548e-07,"6","Human-Ig"
"PECAM1",2.49923229533782e-09,2.79005948035889,0.077,0.05,3.49892521347295e-07,"6","PECAM1"
"CX3CR1",8.74186827592281e-09,0.38108468013901,0.176,0.134,1.22386155862919e-06,"6","CX3CR1"
"FCGR2A",1.14079382156657e-08,-9.00139305401071,0.083,0.054,1.5971113501932e-06,"6","FCGR2A"
"BTLA",2.128114278021e-08,0.528578661450197,0.04,0.021,2.97935998922941e-06,"6","BTLA"
"CD27",7.80890146042374e-08,0.34559978512659,0.078,0.06,1.09324620445932e-05,"6","CD27"
"LAMP1",2.03878697885038e-07,-4.1254171922373,0.032,0.016,2.85430177039054e-05,"6","LAMP1"
"TFRC",3.75855815123802e-06,-7.9878070152827,0.029,0.042,0.000526198141173322,"6","TFRC"
"CD33",1.79071359494845e-05,11.9451908942697,0.172,0.145,0.00250699903292783,"6","CD33"
"HLA-DRA",2.37497926971414e-05,-0.344728458205744,0.068,0.048,0.0033249709775998,"6","HLA-DRA"
"IGKC",3.08918406026529e-05,-1.69334274205032,0.044,0.034,0.00432485768437141,"6","IGKC"
"CD1C",3.4065877127352e-05,12.8611534045333,0.059,0.041,0.00476922279782928,"6","CD1C"
"NT5E",0.000122992818486569,-2.83138496928761,0.04,0.026,0.0172189945881196,"6","NT5E"
"OLR1",0.000242629049659636,2.14759771959981,0.047,0.032,0.0339680669523491,"6","OLR1"
"CD86",0.000250308717736082,6.08591723120267,0.079,0.061,0.0350432204830515,"6","CD86"
