"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KIR2DL3",1.21423680197078e-131,-1.83708351575222,0.091,0.261,2.16170577854857e-127,"6","KIR2DL3"
"KLRC2",7.10962130089262e-112,-0.808007161440603,0.551,0.72,1.26572588019791e-107,"6","KLRC2"
"KLRB1",1.07201863746895e-98,0.459213364390428,0.852,0.711,1.90851478028597e-94,"6","KLRB1"
"KIR2DL1",7.23245127846016e-93,-1.9916819596892,0.05,0.169,1.28759330110426e-88,"6","KIR2DL1"
"ALOX5AP",1.20890208364548e-81,0.6696368302153,0.616,0.455,2.15220837951405e-77,"6","ALOX5AP"
"CD52",2.66632710891457e-81,-1.01885974796272,0.286,0.444,4.74686215200061e-77,"6","CD52"
"KIR3DL1",1.3618298310694e-76,-1.71760011665826,0.056,0.166,2.42446564825285e-72,"6","KIR3DL1"
"GZMH",4.11464123911691e-69,-0.659056018140202,0.536,0.662,7.32529579799983e-65,"6","GZMH"
"CAPG",2.43958851663375e-68,-2.87282650222128,0.016,0.088,4.34319943616306e-64,"6","CAPG"
"KLRC1",3.26217717443864e-67,0.416738470295257,0.618,0.451,5.80765402365311e-63,"6","KLRC1"
"LBH",3.53749534702568e-61,0.488801502443994,0.644,0.494,6.29780296630982e-57,"6","LBH"
"HLA-DPB1",8.91260849291092e-61,-0.741513863417037,0.264,0.412,1.58671168999293e-56,"6","HLA-DPB1"
"CEBPD",5.16462917882072e-60,0.537921226709975,0.675,0.547,9.19458932705452e-56,"6","CEBPD"
"CXCR4",1.14688277472166e-58,0.526238245707966,0.722,0.61,2.04179540383697e-54,"6","CXCR4"
"LINC01871",4.5320949487734e-55,-1.33484376321136,0.09,0.192,8.06848863730128e-51,"6","LINC01871"
"ISG15",4.71607235485205e-54,0.945860699296514,0.361,0.302,8.39602361334311e-50,"6","ISG15"
"HLA-DPA1",4.9893615734052e-54,-0.744355109035824,0.243,0.38,8.88256040913327e-50,"6","HLA-DPA1"
"COTL1",5.03571514861653e-53,-1.16147049554875,0.15,0.236,8.96508367908201e-49,"6","COTL1"
"HLA-DRB1",6.89222056690863e-53,-0.93085030593639,0.14,0.258,1.22702202752674e-48,"6","HLA-DRB1"
"S100A6",1.29521009555093e-52,-0.645591607814671,0.427,0.549,2.30586253310932e-48,"6","S100A6"
"MX1",7.12164122412239e-52,1.18919314771813,0.234,0.153,1.26786578713051e-47,"6","MX1"
"FGFBP2",1.40617340200393e-50,-0.554765907540332,0.581,0.676,2.5034105075876e-46,"6","FGFBP2"
"KLF2",1.25743844544222e-49,-0.753157802600793,0.329,0.448,2.23861766442078e-45,"6","KLF2"
"FXYD2",2.65689962917986e-45,-3.77067906106269,0.002,0.036,4.73007840982891e-41,"6","FXYD2"
"CD3E",3.12350222467344e-45,-0.706666582943657,0.236,0.36,5.56077101058613e-41,"6","CD3E"
"XAF1",3.26435956433612e-45,0.707460118227965,0.379,0.285,5.8115393323876e-41,"6","XAF1"
"RBFOX2",4.04340883123094e-43,-0.560856131831825,0.361,0.485,7.19848074224043e-39,"6","RBFOX2"
"LAG3",1.93669370790158e-42,-1.14007179034451,0.067,0.149,3.44789580817718e-38,"6","LAG3"
"SPOCK2",1.98901306950703e-42,0.869777538374107,0.261,0.162,3.54103996764337e-38,"6","SPOCK2"
"PRSS23",5.03375929859693e-42,-1.15884056360993,0.089,0.175,8.96160167929211e-38,"6","PRSS23"
"IFI6",2.280555331509e-39,0.796781213855312,0.298,0.24,4.06007265668547e-35,"6","IFI6"
"SH3BGRL3",2.38684678375897e-39,-0.273441181736296,0.921,0.938,4.24930332912609e-35,"6","SH3BGRL3"
"IGFBP4",4.69274311635141e-39,-3.4167684603045,0.004,0.039,8.35449057004042e-35,"6","IGFBP4"
"MT-ATP6",2.57418660208335e-38,0.473354877492671,0.832,0.809,4.58282440768899e-34,"6","MT-ATP6"
"KIR2DL4",5.49122476968286e-38,-1.47969526993085,0.034,0.095,9.77602745746639e-34,"6","KIR2DL4"
"IFI44L",1.49147961734219e-37,1.05978192523005,0.185,0.118,2.6552811627543e-33,"6","IFI44L"
"CLIC3",1.18556394558059e-36,0.364724398410696,0.789,0.711,2.11065949231712e-32,"6","CLIC3"
"STAT1",9.49478373902259e-36,0.699590674791551,0.37,0.298,1.69035634905819e-31,"6","STAT1"
"IRF7",3.66999912648507e-35,0.526283902994307,0.441,0.377,6.53369944488138e-31,"6","IRF7"
"MTRNR2L12",3.8922186996376e-35,0.311906025397371,0.495,0.376,6.92931695096482e-31,"6","MTRNR2L12"
"ZBTB16",4.31948032783262e-35,0.733550703367842,0.256,0.163,7.68997082764041e-31,"6","ZBTB16"
"XCL1",7.69593958888868e-35,-1.12468884736017,0.208,0.225,1.37010812500985e-30,"6","XCL1"
