"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,-16.2253755973497,0.966,0.996,0,"1","CD7"
0,-8.05635305714689,0.989,1,0,"1","CD2"
0,-6.30339627057973,0.943,0.998,0,"1","CD3D"
0,-6.00696388874149,0.982,0.998,0,"1","CD8A"
0,-5.73839658282987,0.968,0.998,0,"1","CD45"
0,-4.52147949551648,0.505,0.842,0,"1","PECAM1"
0,-4.47005603611708,0.375,0.912,0,"1","CD28"
0,-3.95929495944496,0.315,0.861,0,"1","SLAMF6"
0,-3.64690943469776,0.508,0.919,0,"1","ICOS"
0,-3.51292560326667,0.687,0.918,0,"1","ITGB2"
0,3.4298469321972,0.555,0.93,0,"1","CD38"
0,-3.39430593865421,0.985,0.999,0,"1","CD5"
0,-3.04231392714846,0.53,0.898,0,"1","HLA-A"
0,-2.96087101779133,0.29,0.716,0,"1","CD101"
0,-2.84946606764743,0.713,0.968,0,"1","ITGAL"
0,-2.7150254877416,0.975,0.984,0,"1","CD45RA"
0,-2.71092082353646,0.352,0.821,0,"1","DPP4"
0,-2.67655393570924,0.352,0.727,0,"1","CD47"
0,-2.5932493575349,0.317,0.803,0,"1","ITGA4"
0,-2.03585650971537,0.334,0.906,0,"1","CD52"
1.62496708720248e-318,-4.38378177345619,0.069,0.374,2.2262049094674e-316,"1","KLRK1"
3.75218914609888e-296,-2.98889508322451,0.564,0.822,5.14049913015547e-294,"1","TCR-AB"
7.91397501792599e-290,-5.50549278687821,0.357,0.685,1.08421457745586e-287,"1","CR2"
8.26390792529448e-260,-0.993769127833858,0.706,0.884,1.13215538576534e-257,"1","NT5E"
1.51495563350263e-252,10.3811371482153,0.996,0.987,2.0754892178986e-250,"1","SELL"
1.63993633285708e-230,-2.62424727401737,0.69,0.828,2.2467127760142e-228,"1","IL7R"
4.91837039880606e-215,-1.2484747772739,0.314,0.599,6.73816744636431e-213,"1","CD45RO"
1.14144466176948e-201,-3.44776869671975,0.057,0.274,1.56377918662419e-199,"1","ITGB1"
9.41027399046243e-193,-16.585249904741,0.136,0.384,1.28920753669335e-190,"1","ITGA1"
2.23431924335028e-165,-6.15234760039582,0.012,0.148,3.06101736338988e-163,"1","CD226"
8.83652155815973e-165,-3.85755304806826,0.097,0.297,1.21060345346788e-162,"1","CD81"
6.99446176346217e-164,9.30162487371704,0.029,0.196,9.58241261594317e-162,"1","ANPEP"
8.5248381465903e-151,-2.85708379529543,0.068,0.257,1.16790282608287e-148,"1","TNFRSF14"
1.5686692001794e-142,-6.9542728604406,0.019,0.128,2.14907680424577e-140,"1","CXCR3"
1.53362188467015e-138,-5.40198029259889,0.059,0.238,2.10106198199811e-136,"1","CD33"
6.87533517091767e-128,3.70232805786804,0.043,0.199,9.41920918415721e-126,"1","CLEC12A"
2.83216782054996e-113,-2.53624332298224,0.146,0.321,3.88006991415344e-111,"1","HLA-E"
8.06326313575604e-106,-8.82978460427554,0.231,0.417,1.10466704959858e-103,"1","CR1"
1.3211448278455e-105,4.91046009541826,0.053,0.2,1.80996841414834e-103,"1","ITGAX"
2.0432435437347e-105,-3.97328094002627,0.015,0.119,2.79924365491654e-103,"1","IFNGR1"
1.05770411534415e-94,-1.86892097923337,0.04,0.163,1.44905463802148e-92,"1","IL3RA"
3.08142714969599e-92,-4.18191380937846,0.089,0.24,4.2215551950835e-90,"1","ICAM1"
2.06124888751649e-88,-3.09838113857609,0.03,0.14,2.8239109758976e-86,"1","C5AR1"
1.04636173305094e-87,6.78278050321822,0.041,0.161,1.43351557427978e-85,"1","ITGAM"
6.52379578324229e-67,-13.8871099024077,0.012,0.084,8.93760022304194e-65,"1","FCGR2A"
2.37771707144228e-59,-6.35354765192664,0.018,0.086,3.25747238787592e-57,"1","TNFRSF13C"
1.52153854116198e-56,5.55639738330459,0.038,0.125,2.08450780139192e-54,"1","FCGR1A"
6.65743822400505e-53,-1.71563162844791,0.432,0.5,9.12069036688692e-51,"1","ITGB7"
7.92591366573286e-46,-3.7628290359461,0.029,0.1,1.0858501722054e-43,"1","CD86"
5.82619566946918e-44,17.2774959162313,0.029,0.099,7.98188806717278e-42,"1","ENTPD1"
1.1142073934183e-43,-8.31358343274935,0.032,0.099,1.52646412898307e-41,"1","KLRB1"
1.50222661343777e-40,-1.64309897524888,0.136,0.244,2.05805046040975e-38,"1","BTLA"
2.80807480122833e-37,-2.90031915124901,0.005,0.043,3.84706247768281e-35,"1","CD58"
2.19735181426956e-35,-1.6888968363443,0.036,0.098,3.0103719855493e-33,"1","CD14"
4.15956092832777e-32,-8.58807156968442,0.102,0.184,5.69859847180905e-30,"1","ITGAE"
6.23517704964888e-30,-2.13288823912544,0.027,0.079,8.54219255801897e-28,"1","FCGR3A"
3.07662287782642e-27,-1.97339949851858,0.048,0.108,4.21497334262219e-25,"1","GGT1"
1.17163421764231e-24,-3.16488597013858,0.02,0.061,1.60513887816996e-22,"1","OLR1"
5.40900040325227e-23,-5.27766616714455,0.002,0.021,7.4103305524556e-21,"1","THBD"
9.40655994767185e-22,0.263305781807688,0.067,0.127,1.28869871283104e-19,"1","SIGLEC7"
3.39908437067411e-20,-4.72955868999998,0.001,0.017,4.65674558782353e-18,"1","LILRB1"
1.12835674858672e-18,-0.75992039583621,0.135,0.205,1.54584874556381e-16,"1","TNFRSF9"
3.97706110707665e-18,-3.1483158649434,0.007,0.03,5.44857371669501e-16,"1","PVR"
7.71604480009457e-18,1.81443298470801,0.007,0.031,1.05709813761296e-15,"1","SLAMF7"
4.96987294576406e-17,-1.97401421478904,0.02,0.052,6.80872593569677e-15,"1","CD163"
1.22859742742163e-15,0.403197279699854,0.137,0.189,1.68317847556764e-13,"1","FAS"
1.95678687585297e-14,-2.07629717520035,0.007,0.028,2.68079801991857e-12,"1","LAG3"
3.84272484893394e-14,-4.53597341987304,0.01,0.032,5.2645330430395e-12,"1","SIGLEC1"
3.8534564050931e-14,-1.20711003783776,0.373,0.417,5.27923527497755e-12,"1","CD99"
5.97420830480346e-12,-3.00786944238373,0.002,0.014,8.18466537758074e-10,"1","CD82"
1.18237859948881e-11,-3.58395157862938,0.001,0.012,1.61985868129966e-09,"1","NECTIN2"
1.97669503707815e-11,5.62531332067804,0.019,0.045,2.70807220079706e-09,"1","NCR1"
2.10268619646773e-11,-12.7187020171027,0.023,0.043,2.88068008916079e-09,"1","KLRG1"
2.1106260428058e-11,1.02720411661162,0.032,0.064,2.89155767864394e-09,"1","KIR2DL3"
4.42381371909897e-11,21.993845365442,0.019,0.045,6.06062479516559e-09,"1","KIR3DL1"
7.81241177395748e-11,-12.799795834618,0.07,0.109,1.07030041303217e-08,"1","TFRC"
3.62908939398656e-10,-0.955488153376423,0.04,0.072,4.97185246976159e-08,"1","LAMP1"
4.16773445278361e-10,-29.7226917604616,0.034,0.06,5.70979620031354e-08,"1","CD22"
1.1884110432423e-09,3.35479860813722,0.887,0.862,1.62812312924195e-07,"1","CD27"
2.83306856020924e-09,2.17395496832344,0.023,0.047,3.88130392748666e-07,"1","IL2RB"
3.86058674175722e-08,3.56045010092394,0.073,0.102,5.28900383620739e-06,"1","MCAM"
4.93023821272768e-08,-2.99356074081797,0.029,0.052,6.75442635143692e-06,"1","HLA-DRA"
1.17732845893779e-07,-1.20409352250577,0.007,0.02,1.61293998874477e-05,"1","FCER1A"
1.73626123149543e-06,-1.31103890175071,0.026,0.046,0.000237867788714874,"1","TIGIT"
2.88877949920529e-06,6.4110906287353,0.051,0.032,0.000395762791391124,"1","CLEC4C"
1.76386986478603e-05,-9.95057415707139,0.01,0.022,0.00241650171475687,"1","IGKC"
2.75568104457445e-05,-1.17204382392855,0.033,0.051,0.003775283031067,"1","CD40"
7.07772887462323e-05,-2.76627658116134,0.005,0.013,0.00969648855823383,"1","FCER2"
0.000105120708219861,-7.50857332792916,0.015,0.025,0.014401537026121,"1","CD69"
0.000227968119135776,-1.55769785398771,0.006,0.015,0.0312316323216013,"1","CXCR5"
0.000235929863241361,-0.752460335329014,0.004,0.011,0.0323223912640664,"1","TNFRSF4"
0.000272680084042404,-8.65730561448552,0.014,0.006,0.0373571715138093,"1","IGHM"
0.000327015599667757,-0.785896015127665,0.021,0.012,0.0448011371544828,"1","CD4"
0,-6.65717750238147,0.973,1,0,"2","CD2"
0,-6.29687898272768,0.963,1,0,"2","CD3D"
0,-5.48482005915245,0.941,0.996,0,"2","CD45"
0,-4.75587893505299,0.789,0.952,0,"2","TCR-AB"
0,-4.44345905081731,0.311,0.908,0,"2","DPP4"
0,-4.33969450525452,0.182,0.905,0,"2","CD52"
0,-4.25778705434039,0.45,0.997,0,"2","CD28"
0,-4.14205134843868,0.575,0.977,0,"2","CD38"
0,-3.95718692615671,0.986,1,0,"2","CD5"
0,-3.87142487182664,0.952,0.996,0,"2","CD4"
0,-3.82213961060713,0.638,0.948,0,"2","ITGAL"
0,-3.79526305482053,0.671,0.983,0,"2","ICOS"
0,-3.26894404789491,0.877,0.958,0,"2","CD45RA"
3.93332624046832e-287,-3.40310625360273,0.577,0.845,5.3886569494416e-285,"2","ITGB2"
2.31049431538815e-281,-3.32975405279244,0.402,0.784,3.16537721208176e-279,"2","CD47"
3.15508673318105e-279,-5.20839944192163,0.09,0.522,4.32246882445804e-277,"2","SLAMF6"
1.06982944125469e-225,-5.3113811186469,0.935,0.992,1.46566633451893e-223,"2","CD7"
7.23691504208401e-174,7.98543679435991,0.998,0.989,9.9145736076551e-172,"2","SELL"
3.76142192101953e-153,-1.70943506066809,0.33,0.665,5.15314803179675e-151,"2","HLA-A"
4.28218724696136e-143,-5.56231598900623,0.043,0.28,5.86659652833707e-141,"2","CD81"
5.98945389487343e-130,-2.67806533718359,0.107,0.412,8.2055518359766e-128,"2","ITGA4"
1.0670265621283e-115,-2.22765975611975,0.397,0.603,1.46182639011577e-113,"2","IL7R"
2.58150758285048e-110,-2.33568443428812,0.174,0.439,3.53666538850516e-108,"2","CD45RO"
7.26667073640322e-80,-4.26405626835453,0.07,0.263,9.95533890887241e-78,"2","CD101"
1.99119025348403e-69,-3.3965046198443,0.099,0.258,2.72793064727312e-67,"2","PECAM1"
1.02918516276035e-68,-3.78569557862299,0.03,0.164,1.40998367298167e-66,"2","ITGB1"
4.05841104739498e-53,-3.26594856707443,0.029,0.145,5.56002313493112e-51,"2","TNFRSF14"
1.00256004029591e-45,-4.79263335506692,0.022,0.11,1.37350725520539e-43,"2","ANPEP"
5.23177253224978e-41,-5.63315287427442,0.165,0.332,7.16752836918219e-39,"2","CR2"
1.1585328962326e-40,-2.11121388793268,0.086,0.224,1.58719006783866e-38,"2","BTLA"
2.18398142912304e-38,-2.70535392228474,0.013,0.089,2.99205455789856e-36,"2","IFNGR1"
2.33696513217524e-38,-6.9227677699269,0.001,0.045,3.20164223108008e-36,"2","CD226"
3.53150329880716e-35,-2.18422757162723,0.107,0.224,4.8381595193658e-33,"2","GGT1"
1.28608297667874e-32,-3.30976051689051,0.016,0.087,1.76193367804988e-30,"2","CD82"
3.299915955673e-30,-3.67215310655885,0.06,0.164,4.52088485927201e-28,"2","CD33"
5.25775685886917e-30,-2.4487214479047,0.074,0.168,7.20312689665076e-28,"2","HLA-E"
2.07217003735166e-28,-4.10015350520124,0.012,0.069,2.83887295117178e-26,"2","C5AR1"
1.66460361449401e-24,-5.07662620045552,0.076,0.161,2.2805069518568e-22,"2","ITGA1"
2.75726524172454e-21,2.38542937971044,0.028,0.092,3.77745338116263e-19,"2","ITGAM"
5.31986286669554e-21,-6.0625691234495,0.031,0.097,7.28821212737289e-19,"2","IL3RA"
4.19908004916827e-17,-1.06434917787902,0.076,0.147,5.75273966736052e-15,"2","ICAM1"
5.09028666799229e-17,8.01229526380602,0.025,0.081,6.97369273514944e-15,"2","TFRC"
1.79883534335725e-16,1.76691219355829,0.05,0.121,2.46440442039943e-14,"2","ITGAX"
1.99601017887804e-15,-2.20166446521309,0.023,0.073,2.73453394506292e-13,"2","CD14"
1.30476039564159e-14,-9.98935657404749,0.009,0.044,1.78752174202898e-12,"2","FCGR2A"
1.25663000579081e-13,-1.79166095055649,0.047,0.095,1.7215831079334e-11,"2","TNFRSF9"
2.33683879602519e-13,-1.6255686899199,0.016,0.059,3.20146915055451e-11,"2","LAMP1"
1.07095236942461e-12,-6.91577452689943,0.052,0.053,1.46720474611171e-10,"2","TCR-vA7.2"
4.96994369884702e-12,1.49077881448694,0.923,0.945,6.80882286742042e-10,"2","CD44"
8.93629004819772e-12,4.3654866108056,0.028,0.072,1.22427173660309e-09,"2","CD86"
1.81186538862191e-11,-3.1313921745907,0.029,0.066,2.48225558241202e-09,"2","ENTPD1"
1.03105613748708e-10,-6.60087885723445,0.011,0.042,1.4125469083573e-08,"2","KLRB1"
6.43428928268807e-10,-4.83512948399983,0.001,0.015,8.81497631728265e-08,"2","CD58"
9.45911639314778e-10,-0.204475714385266,0.083,0.038,1.29589894586125e-07,"2","ITGB7"
4.71780406746753e-09,-3.02862548191017,0.004,0.024,6.46339157243052e-07,"2","PVR"
9.23875308364568e-09,-20.1568941491661,0.054,0.042,1.26570917245946e-06,"2","CD8A"
1.76072924104101e-08,-2.03369108764256,0.018,0.046,2.41219906022618e-06,"2","NCR1"
2.43951410676757e-08,-2.7506083979728,0.008,0.029,3.34213432627158e-06,"2","IL4R"
2.03408084118805e-07,-4.5577821925191,0.002,0.014,2.78669075242763e-05,"2","TNFRSF4"
3.74145280338087e-07,-1.92487808277991,0.032,0.064,5.12579034063179e-05,"2","FCGR1A"
6.81689998414319e-07,-0.26323930859731,0.055,0.098,9.33915297827617e-05,"2","NT5E"
1.68126215180357e-06,-3.70916668592774,0.001,0.01,0.000230332914797089,"2","THBD"
4.69304688742112e-06,-2.14453585682662,0.022,0.038,0.000642947423576693,"2","KIR3DL1"
7.62657959805824e-06,-2.89002701472597,0.005,0.019,0.00104484140493398,"2","KLRK1"
1.53363702324816e-05,-17.7266984015732,0.012,0.012,0.00210108272184999,"2","CD69"
5.37999026546487e-05,-1.83391788824212,0.046,0.077,0.00737058666368688,"2","FAS"
6.50756478769849e-05,-1.79562738602915,0.014,0.034,0.00891536375914694,"2","TNFRSF13C"
7.53030153176115e-05,-2.54101104415602,0.003,0.013,0.0103165130985128,"2","LAG3"
0.000193910574188919,-2.46676637585571,0.034,0.054,0.0265657486638818,"2","ITGAE"
0.000260620733553521,-1.34545575645166,0.003,0.012,0.0357050404968324,"2","SLAMF7"
0.000321193647862585,-2.55243897324765,0.008,0.02,0.0440035297571741,"2","KLRG1"
0,-6.14206822865873,0.921,0.997,0,"8","CD45"
0,-4.66911487586577,0.662,0.989,0,"8","CD28"
0,-4.51072679745254,0.366,0.969,0,"8","CD52"
8.78448718305736e-321,-7.23963969160063,0.884,0.99,1.20347474407886e-318,"8","CD3D"
1.38981373265492e-311,-4.44225853018904,0.338,0.953,1.90404481373724e-309,"8","SLAMF6"
5.66843536766198e-276,-2.19549652854876,0.939,0.984,7.76575645369691e-274,"8","CD4"
5.2653826330645e-218,-10.0465967381752,0.806,0.866,7.21357420729837e-216,"8","CD2"
3.62326405200425e-183,-4.14147343540669,0.787,0.98,4.96387175124582e-181,"8","ICOS"
4.68220542296625e-183,-2.82699293917716,0.809,0.987,6.41462142946377e-181,"8","ITGAL"
4.31774592002842e-168,-7.46714392050318,0.798,0.953,5.91531191043893e-166,"8","ITGB2"
3.48457905325141e-153,-4.72717594173834,0.979,0.993,4.77387330295444e-151,"8","CD5"
3.83405363860737e-136,-4.26656467101328,0.44,0.873,5.2526534848921e-134,"8","HLA-A"
5.2926814116587e-136,-11.8957325595347,0.511,0.732,7.25097353397242e-134,"8","CCR4"
1.21417277597901e-135,-3.00641967162984,0.515,0.837,1.66341670309124e-133,"8","GGT1"
6.30878950893337e-125,-5.57733880685786,0.424,0.786,8.64304162723871e-123,"8","ITGA4"
1.40610087359953e-121,-1.97657683232389,0.434,0.838,1.92635819683136e-119,"8","FAS"
1.49070868851581e-121,-5.71043763091219,0.021,0.369,2.04227090326666e-119,"8","CD58"
2.10989736715153e-97,-3.76937756291233,0.164,0.531,2.8905593929976e-95,"8","CD82"
2.33381780572279e-97,-3.47844369203604,0.42,0.763,3.19733039384022e-95,"8","CD47"
1.32730628990662e-91,-4.99362865606786,0.309,0.655,1.81840961717207e-89,"8","DPP4"
2.01548341679233e-90,-4.55714845940584,0.5,0.675,2.76121228100549e-88,"8","IL7R"
2.36227726964387e-80,-4.07376020955417,0.555,0.804,3.23631985941211e-78,"8","TCR-AB"
1.06345093220666e-73,-3.99777281900387,0.497,0.788,1.45692777712312e-71,"8","ITGB1"
1.34230179392781e-73,-3.6380671069214,0.802,0.944,1.8389534576811e-71,"8","CD7"
3.03489057323867e-70,-2.34666111209063,0.131,0.477,4.15780008533697e-68,"8","BTLA"
2.62329307753499e-64,-3.98176344251147,0.051,0.307,3.59391151622294e-62,"8","TNFRSF14"
9.59226691375448e-64,-5.47265479662099,0.052,0.299,1.31414056718436e-61,"8","CD81"
8.13874110060148e-43,-8.33448156080386,0.924,0.982,1.1150075307824e-40,"8","CD99"
6.0198566901495e-41,-4.68504205742793,0.023,0.178,8.24720366550482e-39,"8","CD226"
2.07929085766131e-38,-3.78225349908995,0.022,0.175,2.84862847499599e-36,"8","IFNGR1"
5.46612338682417e-38,-2.42715741244991,0.127,0.345,7.48858903994911e-36,"8","HLA-E"
6.21038257419622e-34,6.30411199360704,0.923,0.889,8.50822412664882e-32,"8","SELL"
1.14206154064966e-33,-8.07127794765471,0.025,0.16,1.56462431069004e-31,"8","ANPEP"
1.52520486242305e-29,-14.1582588155932,0.049,0.193,2.08953066151957e-27,"8","IL3RA"
1.14095735640057e-27,-5.72043910561304,0.023,0.142,1.56311157826877e-25,"8","C5AR1"
4.7684791516024e-26,-3.91534106593438,0.041,0.18,6.53281643769529e-24,"8","CLEC12A"
8.73361687439293e-24,-2.34861354869177,0.515,0.683,1.19650551179183e-21,"8","CD45RO"
1.00989773441352e-23,-5.17350458676827,0.11,0.281,1.38355989614652e-21,"8","KLRB1"
1.19891972338079e-22,-0.952957223061533,0.047,0.18,1.64252002103168e-20,"8","ITGAX"
