"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","hsa03010","Ribosome",60,-0.588202873645608,-2.9965596794001,1e-10,1.92e-08,1.48421052631579e-08,549,"tags=82%, list=30%, signal=59%","6223/25873/6231/2197/6170/6232/6208/6227/6229/6230/6137/6173/6233/6201/6164/6122/6147/6139/6160/7311/6129/6202/6144/6146/6125/6138/3921/6205/6167/6181/6194/6155/4736/6169/6189/6218/6128/9349/6224/6217/6187/6168/6235/6157/6124/23521/6204/100529239/6192"
"2","hsa05171","Coronavirus disease - COVID-19",73,-0.411773729546712,-2.19454047881436,4.29741462063285e-05,0.00412551803580753,0.00318913400794332,552,"tags=85%, list=30%, signal=62%","3716/6223/25873/6231/2197/3661/6170/6232/6208/6227/6229/6230/6137/6173/6233/6201/6164/6122/6147/6139/5578/6160/7311/6129/7187/6202/6144/5293/103/6146/6125/6138/3921/6205/6167/6181/6194/23118/6155/4736/6169/6189/6218/4939/6128/9349/10379/6224/6217/6187/64135/6773/6168/6235/6157/6124/23521/6204/9636/100529239/6192/6772"
"3","hsa05168","Herpes simplex virus 1 infection",48,-0.474179954809438,-2.31492129566543,7.90774687342516e-05,0.0050609579989921,0.00391225371632613,390,"tags=56%, list=22%, signal=45%","3665/7187/5293/7582/6427/3105/684/3134/23118/7581/6891/6892/836/4939/7767/972/10379/7157/64135/6773/3717/6890/330/163131/355/6772/3135"
"4","hsa04657","IL-17 signaling pathway",14,0.734115413607287,2.32914779881272,0.00011009686461895,0.0052846495017096,0.00408517313454525,327,"tags=71%, list=18%, signal=59%","2353/3727/3725/7128/7188/5603/1051/5970/7184/5595"
"5","hsa04932","Non-alcoholic fatty liver disease",32,0.544404943939297,2.16883596217132,0.00114600377998627,0.0369071921768003,0.028530230794566,96,"tags=19%, list=5%, signal=18%","2353/7494/9021/1649/3725/5603"
"6","hsa04926","Relaxin signaling pathway",24,0.582811633595235,2.14718566687363,0.00115334975552501,0.0369071921768003,0.028530230794566,239,"tags=38%, list=13%, signal=33%","2353/7423/3725/7422/5603/2778/5970/54331/409"
