"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","hsa05321","Inflammatory bowel disease",10,0.773866352093221,2.29665223807938,3.58886836347816e-05,0.00150732471266083,0.000906661481299746,19,"tags=50%, list=4%, signal=49%","3123/3115/3122/3113/6772"
"2","hsa04145","Phagosome",14,0.663890612240864,2.24606536280441,0.000215245265984077,0.00305986567637764,0.00184052070759558,26,"tags=36%, list=5%, signal=35%","3123/3115/3122/3113/523"
"3","hsa05140","Leishmaniasis",12,0.69441130564676,2.21205261492986,0.000218561834026975,0.00305986567637764,0.00184052070759558,19,"tags=42%, list=4%, signal=41%","3123/3115/3122/3113/6772"
"4","hsa05164","Influenza A",17,0.607510432707486,2.20940536846974,0.000348027833060018,0.00365429224713018,0.00219807052458958,19,"tags=29%, list=4%, signal=29%","3123/3115/3122/3113/6772"
"5","hsa05145","Toxoplasmosis",11,0.666011817605521,2.04982708656689,0.000514427317093333,0.004321189463584,0.00259921170741895,19,"tags=45%, list=4%, signal=45%","3123/3115/3122/3113/6772"
"6","hsa04141","Protein processing in endoplasmic reticulum",14,-0.567005121002179,-2.24934269540655,0.00120353955307456,0.00697602610143046,0.00419610592567246,167,"tags=86%, list=33%, signal=59%","811/30001/5034/3337/7494/3326/9709/10525/1649/3309/23645/596"
"7","hsa04658","Th1 and Th2 cell differentiation",14,0.62234256832543,2.10550060618623,0.00113382999735926,0.00697602610143046,0.00419610592567246,19,"tags=36%, list=4%, signal=35%","3123/3115/3122/3113/6772"
"8","hsa05166","Human T-cell leukemia virus 1 infection",16,0.571484931239178,2.03605059490448,0.00144173585086219,0.00697602610143046,0.00419610592567246,8,"tags=25%, list=2%, signal=25%","3123/3115/3122/3113"
"9","hsa05152","Tuberculosis",12,0.637944342357771,2.03217666420031,0.00166095859557868,0.00697602610143046,0.00419610592567246,39,"tags=50%, list=8%, signal=47%","3123/3115/3122/3113/6772/972"
"10","hsa04612","Antigen processing and presentation",16,0.569708530973249,2.02972174768468,0.00152411833338819,0.00697602610143046,0.00419610592567246,81,"tags=44%, list=16%, signal=38%","3123/3115/3122/3113/972/3823/3804"
"11","hsa04659","Th17 cell differentiation",16,0.559542799026422,1.99350391682587,0.00207333727551974,0.00791637868834809,0.00476173154186351,19,"tags=31%, list=4%, signal=31%","3123/3115/3122/3113/6772"
"12","hsa05168","Herpes simplex virus 1 infection",23,0.483085033725263,1.93451098379456,0.00346050256091318,0.0121117589631961,0.00728526854929091,49,"tags=30%, list=10%, signal=29%","3123/3115/3122/3113/6772/972/4938"
"13","hsa01200","Carbon metabolism",11,-0.577443021603537,-2.09871997438093,0.00483196508713772,0.0152669921069993,0.00918315314706726,181,"tags=91%, list=36%, signal=59%","5214/2026/2597/2821/230/5230/7086/2023/5315/5723"
"14","hsa05169","Epstein-Barr virus infection",20,0.491758488225363,1.88995871657472,0.00508899736899977,0.0152669921069993,0.00918315314706726,19,"tags=25%, list=4%, signal=25%","3123/3115/3122/3113/6772"
"15","hsa05417","Lipid and atherosclerosis",16,-0.425941170737953,-1.79529074793805,0.0138303415943655,0.0387249564642234,0.0232932068957734,166,"tags=69%, list=33%, signal=47%","4792/30001/23236/598/7494/5452/3326/1649/3309/2353/596"
"16","hsa05012","Parkinson disease",12,-0.482174506597192,-1.80927055795709,0.0163422184135215,0.0428983233354939,0.0258035027581918,126,"tags=67%, list=25%, signal=51%","598/84790/2778/7494/64116/1649/3309/1843"
