orig.ident,wsnn_res.0.8,count,proportion
CE021_entry,6,712,0.6085470085470085
CE021_entry,8,239,0.20427350427350427
CE021_entry,17,32,0.02735042735042735
CE021_entry,18,187,0.15982905982905982
CE025_entry,6,452,0.5177548682703322
CE025_entry,8,270,0.30927835051546393
CE025_entry,17,19,0.021764032073310423
CE025_entry,18,131,0.15005727376861397
CE025_entry,31,1,0.001145475372279496
CE037_entry,6,249,0.4585635359116022
CE037_entry,8,131,0.24125230202578268
CE037_entry,17,58,0.10681399631675875
CE037_entry,18,96,0.17679558011049723
CE037_entry,31,9,0.016574585635359115
CP002_entry,6,365,0.3895410885805763
CP002_entry,8,315,0.33617929562433296
CP002_entry,17,129,0.1376734258271078
CP002_entry,18,123,0.13127001067235858
CP002_entry,31,5,0.005336179295624333
CP003_entry,6,259,0.405320813771518
CP003_entry,8,195,0.3051643192488263
CP003_entry,17,117,0.18309859154929578
CP003_entry,18,65,0.10172143974960876
CP003_entry,31,3,0.004694835680751174
CP006_entry,6,840,0.515970515970516
CP006_entry,8,588,0.36117936117936117
CP006_entry,17,67,0.041154791154791155
CP006_entry,18,132,0.08108108108108109
CP006_entry,31,1,6.142506142506142e-4
CP011_entry,6,209,0.32965299684542587
CP011_entry,8,171,0.2697160883280757
CP011_entry,17,174,0.2744479495268139
CP011_entry,18,77,0.12145110410094637
CP011_entry,31,3,0.00473186119873817
CP013_entry,6,677,0.5450885668276972
CP013_entry,8,269,0.21658615136876005
CP013_entry,17,124,0.0998389694041868
CP013_entry,18,168,0.13526570048309178
CP013_entry,31,4,0.00322061191626409
CP016_entry,6,191,0.3782178217821782
CP016_entry,8,139,0.27524752475247527
CP016_entry,17,96,0.1900990099009901
CP016_entry,18,79,0.15643564356435644
CP017_entry,6,94,0.214123006833713
CP017_entry,8,142,0.3234624145785877
CP017_entry,17,163,0.3712984054669704
CP017_entry,18,37,0.08428246013667426
CP017_entry,31,3,0.00683371298405467
CP018_entry,6,213,0.6740506329113924
CP018_entry,8,75,0.23734177215189872
CP018_entry,17,9,0.028481012658227847
CP018_entry,18,18,0.056962025316455694
CP018_entry,31,1,0.0031645569620253164
CP022_entry,6,359,0.32313231323132313
CP022_entry,8,382,0.3438343834383438
CP022_entry,17,297,0.26732673267326734
CP022_entry,18,62,0.0558055805580558
CP022_entry,31,11,0.009900990099009901
CP042_entry,6,144,0.43373493975903615
CP042_entry,8,34,0.10240963855421686
CP042_entry,17,86,0.25903614457831325
CP042_entry,18,67,0.20180722891566266
CP042_entry,31,1,0.0030120481927710845
SAAH29_entry,6,134,0.2110236220472441
SAAH29_entry,8,269,0.42362204724409447
SAAH29_entry,17,190,0.2992125984251969
SAAH29_entry,18,42,0.06614173228346457
SATY021_entry,6,44,0.4782608695652174
SATY021_entry,8,18,0.1956521739130435
SATY021_entry,17,17,0.18478260869565216
SATY021_entry,18,13,0.14130434782608695
