"orig.ident","wsnn_res.0.8","count","total","proportion"
"CE021_entry","0",1169,12090,0.0966914805624483
"CE021_entry","1",1515,10730,0.141192917054986
"CE021_entry","2",366,10222,0.0358051261983956
"CE021_entry","3",687,8444,0.0813595452392231
"CE021_entry","4",797,8075,0.0986996904024768
"CE021_entry","5",170,6470,0.0262751159196291
"CE021_entry","6",88,5170,0.0170212765957447
"CE021_entry","7",162,3322,0.0487658037326911
"CE021_entry","8",169,3181,0.0531279471864194
"CE021_entry","9",175,2900,0.0603448275862069
"CE021_entry","10",24,2601,0.00922722029988466
"CE021_entry","11",173,2597,0.0666153253754332
"CE021_entry","12",335,2257,0.14842711564023
"CE021_entry","13",70,2168,0.0322878228782288
"CE021_entry","14",266,2119,0.125530910806984
"CE021_entry","15",230,1954,0.117707267144319
"CE021_entry","16",27,1828,0.0147702407002188
"CE021_entry","17",39,1550,0.0251612903225806
"CE021_entry","18",152,1381,0.110065170166546
"CE021_entry","19",89,962,0.0925155925155925
"CE021_entry","20",38,872,0.0435779816513761
"CE021_entry","21",103,824,0.125
"CE021_entry","22",6,747,0.00803212851405622
"CE021_entry","23",16,322,0.0496894409937888
"CE021_entry","24",31,183,0.169398907103825
"CE021_entry","25",18,144,0.125
"CE021_entry","26",14,90,0.155555555555556
"CE021_entry","27",7,85,0.0823529411764706
"CE021_entry","29",2,73,0.0273972602739726
"CE021_entry","30",1,35,0.0285714285714286
"CE021_entry","singleton",21,247,0.0850202429149798
"CE025_entry","0",1183,12090,0.0978494623655914
"CE025_entry","1",1307,10730,0.121808014911463
"CE025_entry","2",549,10222,0.0537076892975934
"CE025_entry","3",796,8444,0.0942681193747039
"CE025_entry","4",629,8075,0.0778947368421053
"CE025_entry","5",373,6470,0.0576506955177743
"CE025_entry","6",156,5170,0.030174081237911
"CE025_entry","7",126,3322,0.0379289584587598
"CE025_entry","8",361,3181,0.113486325055014
"CE025_entry","9",217,2900,0.0748275862068966
