"Var1","Freq"
"0",10491
"1",9961
"2",6998
"3",6965
"4",6727
"5",6392
"6",5685
"7",5215
"8",3530
"9",3382
"10",3158
"11",2924
"12",2810
"13",2610
"14",2312
"15",2278
"16",2170
"17",2131
"18",1509
"19",1458
"20",1362
"21",881
"22",871
"23",841
"24",405
"25",183
"26",146
"27",106
"28",89
"29",77
"30",45
"31",44
