"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","hsa05321","Inflammatory bowel disease",12,0.731299862710723,2.37385438965274,2.62368471575479e-05,0.000400111919152605,0.000227846304262916,48,"tags=67%, list=10%, signal=61%","3117/3127/3122/3119/3115/6772/3113/3123"
"2","hsa05320","Autoimmune thyroid disease",11,0.759289130647097,2.34783163677759,2.01002078943056e-05,0.000400111919152605,0.000227846304262916,48,"tags=64%, list=10%, signal=58%","3117/3127/3122/3119/3115/3113/3123"
"3","hsa05330","Allograft rejection",11,0.759289130647097,2.34783163677759,2.01002078943056e-05,0.000400111919152605,0.000227846304262916,48,"tags=64%, list=10%, signal=58%","3117/3127/3122/3119/3115/3113/3123"
"4","hsa05332","Graft-versus-host disease",11,0.759289130647097,2.34783163677759,2.01002078943056e-05,0.000400111919152605,0.000227846304262916,48,"tags=64%, list=10%, signal=58%","3117/3127/3122/3119/3115/3113/3123"
"5","hsa04640","Hematopoietic cell lineage",11,0.744052886818462,2.30071897067628,4.74247485416374e-05,0.000578581932207977,0.000329477200394534,59,"tags=73%, list=13%, signal=65%","3117/3127/3122/3119/3115/3113/3123/952"
"6","hsa04514","Cell adhesion molecules",16,0.645417418245433,2.30951181088852,9.79456990916713e-05,0.000995781274098659,0.000567054047372834,76,"tags=56%, list=16%, signal=49%","3117/3127/3122/3119/3115/3113/3123/201633/6402"
"7","hsa05416","Viral myocarditis",13,0.685974999809217,2.29297478695708,0.000121054557051688,0.00105490399716471,0.000600721862061008,48,"tags=54%, list=10%, signal=50%","3117/3127/3122/3119/3115/3113/3123"
"8","hsa05164","Influenza A",18,0.591629435216704,2.17536230809007,0.00028219159370384,0.00215171090199178,0.00122530560424036,48,"tags=44%, list=10%, signal=41%","3117/3127/3122/3119/3115/6772/3113/3123"
"9","hsa04658","Th1 and Th2 cell differentiation",13,0.660525347560327,2.2079054900297,0.00039123137149149,0.00255343662293295,0.00145407089830522,48,"tags=62%, list=10%, signal=57%","3117/3127/3122/3119/3115/6772/3113/3123"
"10","hsa05140","Leishmaniasis",13,0.659243770161313,2.20362162448898,0.000418596167693926,0.00255343662293295,0.00145407089830522,48,"tags=62%, list=10%, signal=57%","3117/3127/3122/3119/3115/6772/3113/3123"
"11","hsa04940","Type I diabetes mellitus",12,0.668616456486171,2.17037933569474,0.000468155356401083,0.00259613424913328,0.00147838533600342,48,"tags=58%, list=10%, signal=54%","3117/3127/3122/3119/3115/3113/3123"
"12","hsa04612","Antigen processing and presentation",15,0.608323781840403,2.14407435542365,0.000562322274202023,0.00285847156052695,0.00162777500426901,48,"tags=47%, list=10%, signal=43%","3117/3127/3122/3119/3115/3113/3123"
"13","hsa05152","Tuberculosis",13,0.648292220817114,2.16701442082799,0.000723734026910147,0.00339598274165531,0.00193386420146031,48,"tags=62%, list=10%, signal=57%","3117/3127/3122/3119/3115/6772/3113/3123"
"14","hsa05145","Toxoplasmosis",14,0.608497239403897,2.08685750402563,0.00111824751983781,0.0045475399140071,0.00258962583541388,48,"tags=57%, list=10%, signal=53%","3117/3127/3122/3119/3115/6772/3113/3123"
"15","hsa05323","Rheumatoid arthritis",11,0.660834375722771,2.04339531723549,0.00109457006425264,0.0045475399140071,0.00258962583541388,48,"tags=64%, list=10%, signal=58%","3117/3127/3122/3119/3115/3113/3123"
"16","hsa04060","Cytokine-cytokine receptor interaction",11,-0.642964081320629,-2.05271618937174,0.00165848552772842,0.0063229760744646,0.00360065936941038,94,"tags=73%, list=20%, signal=59%","8740/3566/6846/4050/51330/6375/939/4049"
"17","hsa04659","Th17 cell differentiation",17,0.551338364084469,1.99846457327085,0.00244702846639154,0.0087805139088167,0.00500012008612513,48,"tags=47%, list=10%, signal=44%","3117/3127/3122/3119/3115/6772/3113/3123"
"18","hsa05207","Chemical carcinogenesis - receptor activation",10,-0.633316458515051,-1.94373114582712,0.00275364579681426,0.00933179964475945,0.0053140532920977,100,"tags=70%, list=22%, signal=56%","408/196/4609/6256/3326/2353/596"
"19","hsa05168","Herpes simplex virus 1 infection",23,0.494693729024168,2.00465856714369,0.00317537377543756,0.0101946210685101,0.00580539249802989,48,"tags=39%, list=10%, signal=37%","3117/3127/3122/3119/146542/3115/6772/3113/3123"
"20","hsa04145","Phagosome",18,0.530898142072558,1.95205941245413,0.00349452957354762,0.0106583151993202,0.00606944610142481,48,"tags=39%, list=10%, signal=36%","3117/3127/3122/3119/3115/3113/3123"
